DATE,TOT_AF,TOT_EC,TOT_OEC,BAC_AF,BAC_EC,BAC_OEC,CAM_AF,CAM_EC,CAM_OEC,DAR_AF,DAR_EC,DAR_OEC,GUI_AF,GUI_EC,GUI_OEC,LEG_AF,LEG_EC,LEG_OEC,LIG_AF,LIG_EC,LIG_OEC,MAL_AF,MAL_EC,MAL_OEC,SDO_AF,SDO_EC,SDO_OEC,TAB_AF,TAB_EC,TAB_OEC
20180217,23304,16409,1236,139,138,-,3090,2152,287,3421,1388,791,3591,2650,113,4432,2961,-,1411,956,-,1349,1304,45,3931,2944,-,1940,1916,-
20180215,23304,15078,2661,139,138,-,3090,2152,287,3421,1388,791,3589,2651,113,4432,3054,-,1412,952,-,1349,1304,45,3932,1519,1425,1940,1920,-
20180214,23245,,,139,,,3090,,,3421,,,3534,,,4431,,,1412,,,1348,,,3931,,,1939,-,-
20180213,23245,,,139,,,3090,,,3421,,,3534,,,4431,,,1412,,,1348,,,3931,,,1939,-,-
20180212,23067,,,139,,,3090,,,3418,,,3530,,,4263,,,1412,,,1328,,,3928,,,1939,-,-
20180211,23054,,,139,,,3090,,,3418,,,3517,,,4263,,,1412,,,1328,,,3928,,,1939,-,-
20180210,23032,,,139,,,3090,,,3415,,,3502,,,4259,,,1412,,,1348,,,3928,,,1939,-,-
20180209,23032,,,139,,,3090,,,3415,,,3502,,,4259,,,1412,,,1348,,,3928,,,1939,-,-
20180208,22843,,,139,,,3090,,,3415,,,3467,,,4105,,,1412,,,1348,,,3928,,,1939,-,-
20180207,22733,,,139,,,3090,,,3400,,,3372,,,4105,,,1412,,,1348,,,3928,,,1939,-,-
